serial,p1,p2,p3,p4,p5,r1,r2,r3,r4,r5
160,70.89,17.37,51.86,58.88,62.82,50.80,131.95,142.62,123.03,32.18
161,67.81,12.23,49.83,59.65,65.89,64.06,135.06,154.36,138.68,17.26
162,61.14,5.72,63.32,67.32,61.11,69.34,133.57,130.63,94.28,13.33
163,41.46,-24.66,36.78,55.20,80.43,82.16,128.06,166.53,157.40,-56.08
164,34.08,-26.16,47.84,67.83,69.63,84.39,128.51,169.19,158.07,-30.37
165,42.34,-16.34,51.44,66.66,71.58,77.67,130.59,158.74,139.25,-10.27
166,38.98,-22.34,46.24,64.00,69.57,88.79,134.37,164.08,149.07,-14.96
167,37.89,-22.89,42.96,60.32,72.10,87.84,132.77,164.33,149.37,-14.35
168,46.98,-15.72,37.00,53.85,75.08,87.46,135.45,164.94,157.42,-16.97
169,46.44,-14.42,36.20,52.80,75.99,84.96,133.41,161.14,151.58,-1.06
170,47.00,-14.21,37.00,53.59,75.58,85.47,133.97,161.68,151.86,-3.68
171,47.21,-13.95,37.08,53.66,75.43,85.72,134.22,161.80,152.44,-3.37
172,47.41,-13.33,36.98,52.87,76.38,84.97,133.85,160.86,151.49,-1.89
173,48.01,-12.92,37.77,53.42,75.40,84.46,133.96,160.74,151.37,-1.05
174,39.74,-16.56,31.67,45.34,80.51,80.13,129.35,159.89,152.01,6.26
175,43.50,-10.86,34.86,47.16,77.30,77.30,128.60,153.36,141.88,33.64
176,44.72,-17.15,36.70,48.76,79.42,88.39,138.04,170.06,166.77,-57.28
177,38.95,-12.00,52.70,64.57,67.87,97.69,128.60,155.12,140.41,-12.06
178,42.99,-16.49,47.89,62.81,70.56,97.74,136.35,164.33,155.20,-24.39
179,32.55,-21.45,47.97,58.49,63.88,101.95,140.82,-178.29,-172.77,-48.50
180,31.05,-22.27,43.57,55.93,83.14,93.10,132.07,166.90,153.98,-54.20
181,39.74,-20.38,51.20,68.07,69.37,97.10,134.94,173.19,166.07,-23.86
182,31.79,-28.85,42.40,46.51,66.88,107.76,143.45,-169.75,-165.37,-63.58
183,50.56,-7.63,49.76,60.76,76.05,78.31,130.78,161.97,152.68,2.23
184,37.42,-22.59,34.03,50.58,74.46,101.43,142.51,-179.93,177.19,-60.98
185,44.49,-12.49,37.73,55.98,77.39,81.34,129.46,162.09,146.53,7.02
186,35.37,-24.24,30.11,48.84,74.51,100.34,140.96,177.56,173.98,-56.38
187,38.24,-21.50,27.03,45.94,78.95,93.30,135.88,172.66,165.27,-53.73
188,35.44,-25.27,24.09,42.68,75.23,96.18,138.32,176.88,172.55,-68.93
189,38.22,-20.50,24.40,42.44,83.10,88.43,131.91,168.68,160.45,-64.23
190,35.45,-23.95,24.30,43.30,77.11,95.57,137.44,175.01,170.13,-63.96
191,41.77,-16.84,28.02,46.50,83.50,88.33,132.39,166.59,157.64,-27.15
192,37.03,-21.08,25.25,42.93,83.15,90.89,133.31,169.80,162.45,-47.45
193,40.10,-17.06,24.73,39.39,86.99,84.49,129.64,165.21,158.44,-80.25
194,40.08,-16.85,24.23,37.14,85.92,82.77,129.05,165.20,158.83,-116.07
195,41.37,-17.47,29.02,42.24,83.60,89.98,134.19,169.19,163.05,-49.57
196,41.73,-17.28,30.52,41.72,86.29,86.46,131.21,166.15,160.26,-60.43
197,48.95,-11.05,54.28,65.25,70.86,96.54,140.80,165.96,159.47,-19.30
198,48.79,-16.02,45.94,57.56,71.69,95.32,141.81,175.73,174.70,-46.08
199,40.53,-19.51,51.27,65.67,62.29,104.45,148.03,-179.87,-178.75,-34.73
200,38.16,-22.28,45.63,57.37,71.27,99.33,140.56,-179.43,176.04,-34.41
201,36.78,-22.45,36.51,48.38,77.74,89.95,133.83,172.16,165.21,-50.14
202,34.13,-25.74,27.25,42.72,81.31,90.73,130.24,168.19,160.37,-57.06
