p1,p2,p3,p4,p5,r1,r2,r3,r4,r5,label
-33.74,0.96,7.0,-1.21,-11.83,-40.3,-2.72,20.81,22.3,29.4,ও
-21.78,6.59,10.3,0.41,-8.66,-35.15,8.45,34.8,33.45,38.06,ও
-20.86,6.97,10.51,0.41,-8.5,-35.03,8.83,35.57,34.07,38.46,ও
-16.44,9.26,10.69,-1.25,-10.44,-32.61,13.38,41.01,38.38,42.51,ও
-15.15,2.13,1.6,-7.98,-13.29,-21.65,22.09,48.38,43.7,47.72,ও
-15.56,0.86,0.45,-8.78,-13.77,-20.49,22.27,48.28,43.4,47.29,ও
-23.01,-16.93,-19.59,-25.61,-29.35,-3.07,26.57,47.74,40.43,45.84,ও
-47.27,-17.46,-12.73,-15.45,-22.6,-22.82,-5.67,12.99,13.13,22.37,ও
-45.58,-18.23,-13.82,-16.62,-23.1,-19.59,-0.71,18.34,17.41,25.83,ও
-32.13,-5.12,-0.22,-6.65,-9.48,-22.22,10.12,32.76,29.44,36.55,ও
-34.62,-7.08,-1.84,-5.31,-6.13,-22.83,8.43,31.07,28.78,35.87,ও
-32.88,-8.83,-4.79,-10.22,-13.56,-18.08,11.87,33.7,30.44,37.65,ও
-26.34,0.0,3.41,-4.74,-9.0,-23.81,12.04,37.25,33.47,39.31,ও
-34.94,-4.51,1.42,-5.18,-10.33,-26.63,5.52,27.7,26.02,34.14,ও
-40.08,-6.0,0.45,-6.37,-13.6,-28.87,-0.03,21.13,20.72,30.27,ও
-40.36,-10.38,-3.86,-8.0,-11.94,-23.41,4.08,24.83,23.65,31.99,ও
-44.63,-11.27,-4.51,-9.06,-15.08,-26.26,-2.33,17.59,17.97,27.82,ও
-32.89,-0.69,4.75,-2.61,-10.43,-32.43,4.85,28.44,27.31,35.59,ও
-34.68,-5.2,-0.57,-6.58,-13.08,-27.87,6.7,29.41,27.6,35.56,ও
-36.16,-5.94,-0.91,-6.67,-12.96,-28.64,5.03,27.5,26.27,34.38,ও
-23.74,2.73,5.12,-3.08,-9.58,-28.51,14.88,40.32,37.17,42.87,ও
-37.5,-8.87,-4.99,-10.41,-17.54,-26.27,7.08,28.72,27.08,35.13,ও
-35.28,-4.49,0.41,-5.66,-13.43,-32.16,4.76,27.33,26.67,34.69,ও
-41.88,-15.27,-11.6,-14.74,-20.56,-19.94,7.09,27.41,25.79,34.13,ও
-45.34,-9.25,-2.48,-6.75,-15.24,-37.5,-5.11,15.36,17.12,26.62,ও
-44.96,-9.98,-3.34,-7.48,-15.6,-34.63,-2.63,18.19,19.32,28.72,ও
-37.44,-6.86,-1.87,-7.37,-14.87,-29.64,5.33,27.64,26.75,34.92,ও
-39.03,-0.85,6.78,-0.08,-9.94,-43.28,-4.36,18.87,20.66,29.87,ও
-39.75,-4.9,1.7,-4.12,-12.45,-38.2,-1.5,20.85,21.66,30.94,ও
-32.74,0.9,6.49,-1.67,-10.71,-31.89,-1.27,22.66,24.09,33.07,ও
-32.03,-1.73,3.16,-4.23,-12.32,-28.26,3.26,27.29,27.26,35.76,ও
-27.76,0.67,5.35,-2.55,-9.87,-27.52,8.02,32.68,32.13,39.4,ও
-28.96,1.02,5.35,-2.79,-10.59,-30.25,4.45,29.2,28.72,36.21,ও
-27.96,-8.18,-6.18,-11.57,-16.74,-15.52,5.17,27.85,27.8,35.33,ও
-34.85,-5.52,-0.82,-7.95,-12.91,-22.83,5.41,27.47,25.51,34.12,ও
-36.36,-8.09,-4.83,-11.33,-10.1,-35.03,5.97,28.3,27.31,35.0,ও
-34.29,-3.44,-1.43,-10.79,-9.28,-41.4,2.23,24.18,26.94,36.31,ও
-33.02,-2.93,-0.89,-10.28,-9.28,-38.26,5.15,27.73,28.74,37.2,ও
-36.26,-4.96,-2.01,-9.71,-9.09,-37.47,3.12,25.08,26.06,34.56,ও
-38.65,-9.08,-6.32,-12.72,-12.15,-32.93,4.19,25.68,25.62,34.01,ও
-39.6,-11.47,-9.25,-15.17,-16.8,-29.7,5.52,26.47,26.16,34.7,ও
-37.86,-11.65,-10.05,-16.17,-19.61,-27.92,7.85,28.8,27.56,35.62,ও
-37.05,-10.28,-8.51,-14.59,-18.65,-29.77,7.54,28.5,27.52,35.42,ও
-34.29,-3.06,0.68,-6.9,-12.36,-38.71,3.94,26.82,27.65,36.04,ও
-33.86,-2.61,0.8,-8.43,-22.92,-38.43,4.66,27.45,26.68,35.78,ও
-34.16,-5.07,-1.99,-22.95,-21.93,-35.54,5.17,26.39,24.4,35.87,ও
-34.8,-6.98,-5.35,-24.99,-24.05,-34.17,5.18,25.95,24.4,35.35,ও
-34.41,-7.69,-13.38,-12.49,-15.12,-34.25,3.96,28.84,29.3,36.32,ও
-34.05,-6.74,-14.16,-13.68,-15.75,-34.39,4.19,29.23,29.43,36.91,ও
-32.13,-0.73,-18.18,-15.21,-16.26,-37.31,5.28,31.44,30.11,37.78,ও
-32.16,-2.04,-18.21,-15.75,-16.55,-36.0,6.58,33.18,31.11,38.5,ও
-28.63,4.36,-10.12,-9.4,-11.16,-43.66,3.93,30.55,30.19,37.8,ও
-29.56,-9.83,-5.17,-7.38,-10.11,-40.05,2.13,29.82,29.97,38.14,ও
-31.23,-13.22,-5.83,-7.95,-9.97,-40.48,5.38,31.34,31.0,38.43,ও
-26.24,6.4,-8.1,-8.11,-3.74,-42.0,4.4,27.53,28.89,37.28,ও
-24.9,8.24,-2.63,-8.29,-3.44,-44.65,5.13,28.87,27.58,37.37,ও
-22.65,9.91,-0.77,-15.25,-10.1,-44.55,5.86,29.78,30.85,37.67,ও
-22.94,9.59,4.69,-6.43,-20.38,-44.76,5.71,31.7,32.0,39.1,ও
-25.02,3.7,0.06,-7.3,-8.56,-49.53,9.63,34.48,35.27,37.58,ও
-23.43,3.4,0.65,-6.63,-7.27,-48.98,8.08,34.56,35.5,39.29,ও
-21.47,3.64,0.49,-6.3,-6.63,-38.45,16.53,43.65,42.82,45.76,ও
-30.28,-0.85,-3.48,-9.72,-11.94,-46.39,6.13,31.55,32.99,38.59,ও
-38.82,-8.24,-8.85,-13.58,-15.38,-52.95,-1.41,21.95,23.87,30.61,ও
-42.26,-10.93,-10.98,-14.88,-17.42,-49.92,-0.09,23.04,24.62,31.23,ও
-41.08,-5.58,-5.53,-12.03,-16.13,-50.1,0.0,22.57,24.0,31.06,ও
-31.57,2.46,-4.91,-11.99,-15.0,-40.72,6.05,30.71,32.57,37.86,ও
-31.02,-0.64,-5.53,-12.45,-15.26,-38.91,8.5,33.62,34.63,39.5,ও
-25.16,6.57,0.68,-8.39,-10.52,-39.43,8.49,34.78,36.17,40.47,ও
-23.15,8.78,4.96,-4.58,-7.73,-43.2,9.77,36.55,36.97,41.05,ও
-19.45,10.83,9.41,-0.08,-4.29,-44.62,10.48,38.27,38.53,41.86,ও
-18.71,10.9,8.99,-0.74,-4.67,-44.4,10.19,38.16,38.11,40.93,ও
-16.68,15.04,14.23,3.46,-1.77,-48.97,6.9,35.3,36.12,39.22,ও
-16.51,15.48,14.14,3.42,-1.43,-48.37,9.68,38.14,38.22,40.84,ও
-11.25,14.81,14.01,3.87,-0.81,-51.99,8.16,37.87,38.15,40.33,ও
-15.24,25.23,26.97,11.32,3.71,-50.33,9.51,40.01,38.41,41.59,ও
-15.7,27.34,33.15,16.75,9.93,-51.85,9.06,43.12,40.57,42.59,ও
-7.37,28.35,30.06,14.34,8.99,-23.44,14.86,50.17,45.91,48.23,ও
-5.51,27.34,29.2,13.91,8.59,-20.26,12.49,47.05,43.99,46.68,ও
-4.98,22.69,23.83,9.72,5.01,-9.55,13.58,45.37,43.46,47.1,ও
-12.23,16.11,16.76,4.17,-1.27,-6.57,11.63,39.33,38.8,43.29,ও
-14.29,13.51,13.49,1.96,-3.99,-6.37,12.1,38.0,37.82,42.04,ও
-15.96,10.27,10.02,-0.43,-6.7,-4.84,13.46,38.54,38.03,42.6,ও
